time,open,high,close,low,Volume
11/05/2009,3.95,4,3.95,3.8,12830000
11/06/2009,3.95,4.05,4,3.9,6170000
11/09/2009,4,4.05,4,3.95,4450000
11/10/2009,4,4.05,4,4,9710000
11/11/2009,4,4.05,4,4,3650000
11/12/2009,4,4.1,4.05,4,6160000
11/13/2009,4.05,4.15,4.05,4.05,2190000
11/16/2009,4.05,4.2,4.1,4.05,3140000
11/17/2009,4.1,4.2,4.1,4,5670000
11/18/2009,4.1,4.4,4.2,4.1,4100000
11/19/2009,4.2,4.5,4.4,4.3,14950000
11/20/2009,4.4,4.8,4.5,4.15,53020000
11/23/2009,4.5,4.95,4.8,4.55,34550000
11/24/2009,4.8,4.8,4.7,4.65,23290000
11/25/2009,4.7,5.15,4.9,4.55,29140000
11/26/2009,4.9,5.2,5.05,5,22030000
11/27/2009,5.05,5.1,5,4.75,15520000
11/30/2009,5,5,4.85,4.6,5870000
12/01/2009,4.85,4.95,4.8,4.8,3530000
12/02/2009,4.8,4.85,4.8,4.65,10300000
12/03/2009,4.8,4.85,4.7,4.7,2630000
12/04/2009,4.7,4.7,4.6,4.55,3970000
12/07/2009,4.6,4.6,4.5,4.5,8390000
12/08/2009,4.5,4.7,4.5,4.45,14900000
12/09/2009,4.5,4.6,4.5,4.5,9600000
12/10/2009,4.5,4.65,4.55,4.5,4510000
12/11/2009,4.55,4.55,4.5,4.4,4650000
12/14/2009,4.5,4.6,4.5,4.5,2430000
12/15/2009,4.5,4.6,4.5,4.4,6760000
12/16/2009,4.5,4.65,4.5,4.5,10780000
12/17/2009,4.5,4.6,4.55,4.5,7410000
12/18/2009,4.55,4.65,4.55,4.5,3110000
12/21/2009,4.55,4.6,4.5,4.5,8030000
12/22/2009,4.5,4.6,4.5,4.5,2630000
12/23/2009,4.5,4.6,4.5,4.4,7300000
12/24/2009,4.5,4.6,4.5,4.45,2270000
12/28/2009,4.5,4.65,4.55,4.4,5520000
12/29/2009,4.55,4.6,4.55,4.55,3740000
12/30/2009,4.55,4.65,4.55,4.5,6140000
12/31/2009,4.55,4.6,4.55,4.4,4400000
01/04/2010,4.55,4.65,4.55,4.55,2800000
01/05/2010,4.55,4.7,4.55,4.55,1970000
01/06/2010,4.55,4.9,4.8,4.7,3860000
01/07/2010,4.8,5.05,4.95,4.85,22380000
01/08/2010,4.95,5.1,5,5,37600000
01/11/2010,5,5.15,5.05,5,20470000
01/12/2010,5.05,5.2,5.15,5,52150000
1/13/2010,5.15,5.65,5.4,5.1,31640000
1/14/2010,5.4,5.9,5.75,5.5,34230000
1/15/2010,5.75,5.7,5.55,5.45,27800000
1/18/2010,5.55,6.1,6,5.5,88010000
1/19/2010,6,6.05,5.95,5.55,14770000
1/20/2010,5.95,5.95,5.6,5.5,9270000
1/21/2010,5.6,5.6,5.4,5.35,21950000
1/22/2010,5.4,5.5,5.45,5.35,9560000
1/25/2010,5.45,5.7,5.55,5.45,13150000
1/26/2010,5.55,5.6,5.55,5.5,12220000
1/27/2010,5.55,5.7,5.55,5.45,9240000
1/28/2010,5.55,5.55,5.45,5.35,10750000
1/29/2010,5.45,5.45,5.25,5.1,6450000
02/01/2010,5.25,5.35,5.15,5.05,9310000
02/02/2010,5.15,5.1,5,5,2870000
02/03/2010,5,5.5,5.35,4.9,41540000
02/04/2010,5.35,5.85,5.7,5.35,32320000
02/05/2010,5.7,5.75,5.65,5.55,9440000
02/08/2010,5.65,5.6,5.5,5.3,7270000
02/09/2010,5.5,5.55,5.5,5.3,4620000
02/10/2010,5.5,5.55,5.4,5.35,4980000
02/11/2010,5.4,5.5,5.35,5.35,2590000
02/12/2010,5.35,5.4,5.35,5.35,3130000
2/15/2010,5.35,5.4,5.35,5.35,4800000
2/16/2010,5.35,5.4,5.3,5.15,7150000
2/17/2010,5.3,5.3,5.2,5.15,7970000
2/18/2010,5.2,5.4,5.3,5.25,4670000
2/19/2010,5.3,5.4,5.3,5.3,9550000
2/22/2010,5.3,5.45,5.35,5.35,4670000
2/23/2010,5.35,5.4,5.35,5.3,2280000
2/24/2010,5.35,5.45,5.35,5.3,7660000
2/25/2010,5.35,5.5,5.4,5.3,27200000
2/26/2010,5.4,5.45,5.4,5.35,17830000
03/01/2010,5.4,5.45,5.35,5.25,9330000
03/02/2010,5.35,5.45,5.4,5.35,10130000
03/03/2010,5.4,5.45,5.4,5.35,9290000
03/04/2010,5.4,5.5,5.4,5.35,6370000
03/05/2010,5.4,5.45,5.35,5.35,4820000
03/08/2010,5.35,5.45,5.4,5.4,18280000
03/09/2010,5.4,5.5,5.4,5.4,16310000
03/10/2010,5.4,5.5,5.45,5.4,8590000
03/11/2010,5.45,5.5,5.45,5.45,7650000
03/12/2010,5.45,5.55,5.45,5.45,4500000
3/15/2010,5.45,5.5,5.45,5.4,12460000
3/16/2010,5.45,5.5,5.45,5.45,9600000
3/17/2010,5.45,5.5,5.4,5.35,39120000
3/18/2010,5.4,5.45,5.4,5.3,10970000
3/19/2010,5.4,5.45,5.35,5.3,49190000
3/22/2010,5.35,5.45,5.3,5.2,38250000
3/23/2010,5.3,5.6,5.45,5.3,12060000
3/24/2010,5.45,5.6,5.5,5.5,12530000
3/25/2010,5.5,5.55,5.5,5.5,4380000
3/26/2010,5.5,5.6,5.5,5.5,19140000
3/29/2010,5.5,5.6,5.5,5.5,13940000
3/30/2010,5.5,5.6,5.5,5.5,8290000
3/31/2010,5.5,5.6,5.5,5.5,52670000
04/01/2010,5.5,5.6,5.5,5.4,6980000
