,time,open,high,close,low,Volume,log returns,simple returns,absolute log return,30 moving average,21-day rolling volatility
166,2009-02-09,3.1,3.2,3.1,3.1,2010000,0.0,0.0,0.0,0.010190724400108781,0.020162881910739214
167,2009-02-10,3.1,3.3,3.15,3.1,3580000,0.01600034134644112,0.016129032258064502,0.01600034134644112,0.010251247945258272,0.020713770762314978
168,2009-02-11,3.15,3.25,3.15,3.1,3990000,0.0,0.0,0.0,0.010251247945258272,0.020713770762314978
169,2009-02-12,3.15,3.3,3.15,3.0,7800000,0.0,0.0,0.0,0.009785039879433608,0.02065419645925836
170,2009-02-13,3.15,3.15,3.1,3.1,2440000,-0.016000341346441075,-0.015873015873015817,0.016000341346441075,0.010318384590981644,0.020754738943233066
171,2009-02-16,3.1,3.15,3.1,3.05,3220000,0.0,0.0,0.0,0.010318384590981644,0.020754738943233066
172,2009-02-17,3.1,3.15,3.1,3.0,1780000,0.0,0.0,0.0,0.010318384590981644,0.020087230211539332
173,2009-02-18,3.1,3.1,3.0,3.0,5410000,-0.032789822822990956,-0.032258064516129115,0.032789822822990956,0.011411378685081342,0.020919016179398096
174,2009-02-19,3.0,3.1,3.0,2.95,5110000,0.0,0.0,0.0,0.011411378685081342,0.020135100850218864
175,2009-02-20,3.0,3.1,3.0,2.95,2480000,0.0,0.0,0.0,0.010945170619256676,0.014775943336065205
176,2009-02-23,3.0,3.1,2.9,2.8,3660000,-0.03390155167568134,-0.033333333333333326,0.03390155167568134,0.012075222341779388,0.015894486391668388
177,2009-02-24,2.9,2.9,2.8,2.7,4010000,-0.03509131981127017,-0.034482758620689724,0.03509131981127017,0.013244933002155061,0.017324219960082578
178,2009-02-25,2.8,2.8,2.7,2.65,4650000,-0.036367644170874715,-0.03571428571428559,0.036367644170874715,0.013984366641452337,0.01648629912027061
179,2009-02-26,2.7,2.7,2.6,2.5,3450000,-0.037740327982847086,-0.03703703703703709,0.037740327982847086,0.015242377574213907,0.01758095161210917
180,2009-02-27,2.6,2.7,2.55,2.5,5210000,-0.01941808585710174,-0.019230769230769384,0.01941808585710174,0.015889647102783965,0.017545523385684693
181,2009-03-02,2.55,2.7,2.6,2.55,9310000,0.01941808585710173,0.019607843137255054,0.01941808585710173,0.015570665402245613,0.018038540089535055
182,2009-03-03,2.6,2.7,2.65,2.6,6580000,0.01904819497069441,0.019230769230769162,0.01904819497069441,0.015711769041764072,0.018255430866558394
183,2009-03-04,2.65,2.7,2.6,2.6,7870000,-0.019048194970694363,-0.01886792452830177,0.019048194970694363,0.015336530557609588,0.018332245072703424
184,2009-03-05,2.6,2.75,2.65,2.65,2100000,0.01904819497069441,0.019230769230769162,0.01904819497069441,0.01385435686588854,0.019217265426585927
185,2009-03-06,2.65,2.75,2.65,2.65,10380000,0.0,0.0,0.0,0.013312339503495862,0.019217265426585927
186,2009-03-09,2.65,2.9,2.7,2.7,4170000,0.018692133012152546,0.018867924528301883,0.018692133012152546,0.013935410603900947,0.019997543861621614
187,2009-03-10,2.7,2.8,2.7,2.7,2450000,0.0,0.0,0.0,0.012877120660081605,0.019997543861621614
188,2009-03-11,2.7,2.9,2.75,2.6,882100,0.0183491386681964,0.01851851851851838,0.0183491386681964,0.013488758615688153,0.02013623103654757
189,2009-03-12,2.75,3.0,2.85,2.8,5820000,0.035718082602079246,0.036363636363636376,0.035718082602079246,0.014679361369090793,0.022120516547326562
190,2009-03-13,2.85,3.1,2.95,2.9,6310000,0.034486176071169404,0.03508771929824572,0.034486176071169404,0.014770610627643763,0.023714681223427
191,2009-03-16,2.95,3.05,2.95,2.7,4350000,0.0,0.0,0.0,0.014237265916095726,0.023536652361085354
192,2009-03-17,2.95,3.15,3.0,3.0,3650000,0.01680711831638119,0.016949152542372836,0.01680711831638119,0.014264158481760396,0.023903866477029866
193,2009-03-18,3.0,3.25,3.1,3.0,1830000,0.03278982282299097,0.03333333333333344,0.03278982282299097,0.015357152575860095,0.025054209048937
194,2009-03-19,3.1,3.3,3.05,3.05,5410000,-0.016260520871780405,-0.016129032258064613,0.016260520871780405,0.015899169938252775,0.024218267389608684
195,2009-03-20,3.05,3.2,3.1,3.05,2310000,0.016260520871780326,0.016393442622950838,0.016260520871780326,0.016441187300645452,0.02445067047043563
196,2009-03-23,3.1,3.15,3.05,3.0,2670000,-0.016260520871780405,-0.016129032258064613,0.016260520871780405,0.016983204663038133,0.02475812854916025
197,2009-03-24,3.05,3.15,3.05,2.95,3510000,0.0,0.0,0.0,0.016449859951490096,0.023454088778824538
198,2009-03-25,3.05,3.1,3.05,2.95,16830000,0.0,0.0,0.0,0.016449859951490096,0.021844112827182717
199,2009-03-26,3.05,3.1,3.05,3.0,1540000,0.0,0.0,0.0,0.016449859951490096,0.019826125711527677
